optimal_tour,optimal_tour_length,gcn_tour,gcn_tour_length,score,time
"{1, 13, 2, 11, 12, 8, 15, 7, 19, 9, 4, 20, 16, 10, 5, 6, 18, 14, 3, 17, 1}",3.770459,"{1, 13, 2, 11, 12, 8, 15, 7, 19, 20, 4, 9, 10, 5, 6, 18, 14, 3, 17, 16, 1}",3.802774,0.008571,0.044001
"{1, 10, 6, 8, 16, 20, 3, 11, 4, 14, 17, 15, 19, 12, 2, 5, 9, 13, 18, 7, 1}",4.074657,"{1, 10, 7, 18, 9, 13, 5, 2, 12, 19, 15, 17, 14, 4, 11, 3, 20, 16, 8, 6, 1}",4.130627,0.013736,0.043722
"{1, 8, 14, 20, 7, 10, 16, 5, 6, 18, 4, 15, 13, 11, 17, 9, 12, 2, 3, 19, 1}",3.231835,"{1, 8, 14, 20, 7, 10, 5, 6, 16, 15, 4, 18, 13, 11, 17, 9, 12, 2, 3, 19, 1}",3.233297,0.000452,0.043817
"{1, 4, 17, 15, 8, 10, 3, 7, 20, 9, 2, 16, 5, 13, 12, 14, 19, 11, 18, 6, 1}",3.806571,"{1, 4, 17, 15, 8, 10, 3, 7, 20, 9, 2, 16, 5, 13, 12, 14, 19, 11, 18, 6, 1}",3.806571,0.000000,0.044008
"{1, 14, 3, 17, 7, 5, 2, 18, 6, 4, 9, 11, 20, 16, 13, 15, 12, 10, 19, 8, 1}",3.555058,"{1, 14, 3, 17, 5, 2, 18, 7, 6, 4, 9, 11, 20, 16, 13, 15, 12, 10, 19, 8, 1}",3.593292,0.010755,0.043881
"{1, 18, 10, 3, 20, 7, 12, 13, 17, 4, 9, 19, 11, 14, 15, 8, 16, 6, 5, 2, 1}",3.685515,"{1, 18, 10, 3, 20, 7, 12, 13, 17, 4, 9, 19, 11, 14, 15, 8, 16, 6, 5, 2, 1}",3.685515,0.000000,0.043875
"{1, 3, 17, 13, 8, 20, 15, 7, 11, 19, 9, 2, 14, 6, 18, 4, 16, 12, 5, 10, 1}",3.634190,"{1, 3, 10, 5, 12, 16, 18, 4, 6, 14, 2, 9, 19, 11, 7, 15, 20, 8, 13, 17, 1}",3.687425,0.014648,0.044770
"{1, 19, 16, 17, 8, 7, 14, 6, 12, 15, 10, 20, 11, 9, 5, 13, 3, 4, 2, 18, 1}",4.026299,"{1, 19, 18, 16, 17, 8, 7, 14, 6, 15, 12, 10, 20, 11, 9, 5, 13, 3, 4, 2, 1}",4.041591,0.003798,0.044679
"{1, 19, 20, 12, 9, 10, 14, 8, 16, 2, 13, 4, 6, 17, 3, 18, 5, 7, 15, 11, 1}",3.557369,"{1, 11, 15, 7, 5, 18, 3, 17, 6, 14, 8, 4, 13, 2, 16, 10, 9, 12, 20, 19, 1}",3.651878,0.026567,0.044860
"{1, 10, 8, 20, 19, 17, 5, 2, 12, 14, 18, 11, 9, 7, 15, 3, 6, 13, 4, 16, 1}",3.502678,"{1, 10, 8, 20, 19, 17, 5, 2, 12, 14, 18, 11, 9, 7, 15, 3, 6, 13, 4, 16, 1}",3.502678,0.000000,0.045028
"{1, 7, 13, 4, 5, 6, 15, 19, 9, 12, 17, 18, 20, 10, 8, 2, 14, 11, 16, 3, 1}",3.979385,"{1, 3, 16, 11, 14, 2, 8, 10, 20, 18, 17, 12, 9, 15, 6, 19, 4, 13, 5, 7, 1}",3.987112,0.001942,0.044977
"{1, 16, 10, 8, 17, 9, 3, 2, 14, 4, 12, 6, 18, 19, 5, 11, 7, 20, 15, 13, 1}",3.989491,"{1, 13, 15, 20, 4, 12, 14, 7, 11, 5, 19, 18, 6, 2, 3, 9, 17, 8, 10, 16, 1}",4.060402,0.017774,0.045019
"{1, 6, 7, 13, 4, 11, 8, 18, 2, 12, 5, 16, 15, 10, 14, 9, 3, 19, 17, 20, 1}",3.445786,"{1, 20, 17, 19, 3, 9, 10, 15, 16, 14, 12, 5, 2, 18, 8, 11, 4, 6, 7, 13, 1}",3.529901,0.024411,0.044824
"{1, 3, 2, 15, 4, 10, 11, 14, 19, 8, 20, 12, 7, 6, 17, 13, 9, 16, 5, 18, 1}",4.204516,"{1, 18, 16, 9, 13, 5, 17, 6, 12, 7, 20, 8, 19, 14, 11, 10, 15, 2, 3, 4, 1}",4.439401,0.055865,0.044796
"{1, 6, 7, 20, 11, 15, 10, 2, 9, 13, 18, 16, 5, 14, 8, 17, 12, 4, 3, 19, 1}",4.102246,"{1, 6, 11, 9, 13, 18, 16, 5, 14, 8, 2, 15, 10, 17, 12, 4, 3, 19, 20, 7, 1}",4.140305,0.009278,0.044881
"{1, 3, 17, 15, 18, 7, 14, 8, 5, 13, 12, 6, 2, 16, 10, 20, 11, 19, 4, 9, 1}",4.085589,"{1, 9, 20, 10, 16, 6, 2, 12, 13, 5, 8, 14, 7, 18, 15, 17, 3, 4, 19, 11, 1}",4.291554,0.050413,0.044873
"{1, 14, 5, 12, 20, 16, 3, 15, 7, 10, 2, 19, 8, 18, 4, 9, 17, 11, 13, 6, 1}",3.822300,"{1, 6, 13, 8, 17, 11, 18, 4, 9, 19, 2, 10, 7, 15, 3, 16, 20, 12, 5, 14, 1}",3.874855,0.013749,0.044713
"{1, 2, 15, 3, 8, 17, 10, 19, 14, 13, 4, 11, 7, 12, 6, 18, 9, 5, 16, 20, 1}",3.278409,"{1, 2, 15, 3, 8, 17, 19, 14, 13, 4, 11, 7, 12, 6, 18, 10, 9, 5, 16, 20, 1}",3.293436,0.004584,0.044979
"{1, 19, 20, 6, 8, 13, 7, 4, 10, 9, 11, 18, 2, 16, 12, 5, 17, 15, 3, 14, 1}",3.887375,"{1, 14, 3, 15, 17, 5, 12, 2, 16, 18, 11, 9, 10, 4, 7, 13, 8, 6, 20, 19, 1}",3.899776,0.003190,0.045021
"{1, 17, 13, 6, 8, 12, 20, 5, 7, 15, 19, 18, 14, 3, 10, 16, 11, 4, 9, 2, 1}",4.029413,"{1, 17, 13, 6, 8, 12, 20, 5, 7, 15, 19, 18, 10, 16, 11, 4, 9, 2, 14, 3, 1}",4.337868,0.076551,0.044828
"{1, 18, 12, 19, 15, 4, 9, 8, 6, 17, 2, 11, 20, 10, 14, 16, 13, 7, 3, 5, 1}",4.105566,"{1, 5, 3, 7, 18, 19, 12, 15, 4, 9, 8, 6, 17, 2, 11, 20, 10, 14, 16, 13, 1}",4.276475,0.041629,0.044913
"{1, 16, 4, 3, 18, 5, 8, 10, 19, 9, 15, 17, 2, 6, 11, 12, 14, 7, 20, 13, 1}",3.967801,"{1, 13, 20, 7, 14, 11, 6, 2, 12, 17, 15, 9, 19, 10, 8, 5, 18, 3, 4, 16, 1}",4.070002,0.025758,0.045086
"{1, 8, 11, 19, 6, 15, 5, 10, 2, 18, 7, 17, 9, 14, 20, 13, 16, 4, 12, 3, 1}",3.466249,"{1, 8, 11, 19, 6, 15, 5, 10, 2, 18, 7, 17, 9, 14, 20, 12, 3, 4, 16, 13, 1}",3.484651,0.005309,0.044832
"{1, 12, 18, 4, 20, 5, 2, 9, 15, 10, 13, 17, 19, 11, 8, 7, 3, 14, 6, 16, 1}",4.795065,"{1, 16, 6, 14, 17, 13, 10, 19, 15, 9, 2, 20, 5, 4, 18, 12, 7, 3, 11, 8, 1}",5.131661,0.070196,0.045217
"{1, 15, 14, 13, 19, 18, 16, 17, 2, 20, 7, 10, 8, 3, 6, 11, 9, 12, 4, 5, 1}",3.469141,"{1, 5, 4, 12, 9, 6, 3, 8, 11, 10, 7, 20, 2, 17, 16, 18, 15, 14, 13, 19, 1}",3.642989,0.050113,0.044930
"{1, 12, 14, 7, 5, 8, 10, 9, 4, 18, 6, 11, 2, 15, 3, 17, 20, 19, 16, 13, 1}",3.482816,"{1, 13, 16, 19, 20, 17, 3, 15, 2, 11, 6, 18, 4, 9, 8, 10, 5, 7, 14, 12, 1}",3.491452,0.002480,0.044835
"{1, 5, 17, 20, 10, 7, 8, 6, 9, 18, 15, 11, 4, 12, 3, 14, 19, 13, 16, 2, 1}",3.536839,"{1, 5, 2, 16, 13, 19, 14, 3, 12, 4, 11, 15, 18, 9, 6, 8, 7, 10, 20, 17, 1}",3.538498,0.000469,0.045039
"{1, 18, 14, 16, 9, 8, 4, 13, 20, 12, 3, 17, 5, 7, 11, 6, 10, 19, 2, 15, 1}",3.943122,"{1, 15, 2, 19, 10, 6, 11, 7, 5, 17, 3, 12, 20, 13, 4, 8, 9, 16, 14, 18, 1}",3.943122,0.000000,0.044826
"{1, 2, 17, 3, 7, 6, 8, 16, 14, 4, 9, 20, 13, 15, 18, 10, 12, 11, 19, 5, 1}",3.248978,"{1, 2, 17, 3, 7, 6, 8, 16, 14, 4, 9, 20, 13, 15, 18, 10, 11, 12, 19, 5, 1}",3.284482,0.010928,0.044796
"{1, 20, 2, 19, 15, 10, 13, 18, 4, 16, 9, 14, 11, 7, 8, 12, 3, 17, 5, 6, 1}",3.764408,"{1, 6, 5, 17, 3, 12, 8, 7, 11, 9, 16, 4, 18, 13, 10, 15, 19, 2, 20, 14, 1}",3.844464,0.021267,0.044849
"{1, 20, 18, 16, 3, 11, 13, 7, 5, 6, 15, 19, 2, 17, 9, 12, 8, 10, 14, 4, 1}",3.301753,"{1, 4, 14, 10, 8, 12, 9, 17, 2, 19, 15, 6, 5, 7, 13, 11, 3, 16, 18, 20, 1}",3.301753,0.000000,0.044239
"{1, 15, 8, 6, 12, 3, 17, 19, 18, 4, 20, 11, 10, 14, 5, 2, 7, 16, 13, 9, 1}",3.646290,"{1, 9, 13, 16, 7, 2, 5, 14, 10, 11, 20, 4, 18, 19, 17, 3, 12, 6, 8, 15, 1}",3.646290,0.000000,0.044502
"{1, 4, 19, 6, 15, 2, 18, 16, 17, 10, 12, 11, 20, 3, 13, 14, 8, 9, 5, 7, 1}",3.703065,"{1, 5, 9, 8, 14, 13, 3, 20, 11, 12, 10, 17, 16, 2, 18, 19, 4, 7, 6, 15, 1}",3.940176,0.064031,0.044311
"{1, 3, 13, 8, 20, 19, 18, 6, 4, 15, 9, 17, 11, 10, 16, 2, 12, 5, 14, 7, 1}",3.403824,"{1, 3, 13, 8, 20, 19, 18, 6, 4, 9, 15, 17, 11, 10, 16, 2, 12, 5, 14, 7, 1}",3.407428,0.001059,0.044244
"{1, 10, 20, 12, 4, 18, 2, 14, 3, 11, 13, 5, 17, 19, 16, 6, 7, 9, 15, 8, 1}",3.974075,"{1, 8, 15, 9, 7, 6, 16, 19, 17, 5, 13, 11, 3, 2, 14, 18, 4, 12, 20, 10, 1}",3.973620,-0.000115,0.044148
"{1, 4, 7, 3, 14, 10, 6, 15, 13, 8, 9, 16, 17, 12, 20, 5, 19, 11, 18, 2, 1}",3.969007,"{1, 4, 2, 18, 11, 19, 5, 20, 17, 12, 7, 10, 14, 3, 6, 15, 13, 8, 9, 16, 1}",4.311735,0.086351,0.044316
"{1, 19, 9, 4, 15, 18, 5, 12, 14, 17, 16, 6, 13, 11, 8, 7, 10, 2, 20, 3, 1}",3.814619,"{1, 2, 10, 7, 8, 11, 13, 6, 16, 17, 14, 12, 5, 18, 15, 4, 9, 19, 3, 20, 1}",3.885546,0.018594,0.044190
"{1, 16, 17, 4, 10, 9, 20, 11, 5, 19, 2, 7, 14, 6, 3, 12, 18, 13, 15, 8, 1}",3.729522,"{1, 16, 17, 4, 10, 9, 20, 11, 5, 2, 19, 7, 14, 6, 3, 12, 18, 13, 15, 8, 1}",3.760337,0.008263,0.044508
"{1, 8, 4, 17, 15, 19, 2, 3, 6, 11, 16, 13, 12, 14, 20, 9, 5, 10, 18, 7, 1}",3.518163,"{1, 8, 4, 17, 15, 19, 2, 3, 6, 11, 16, 13, 12, 14, 20, 9, 5, 10, 18, 7, 1}",3.518163,0.000000,0.044811
"{1, 9, 18, 6, 15, 8, 20, 19, 17, 7, 2, 12, 16, 14, 4, 3, 11, 5, 13, 10, 1}",3.732700,"{1, 9, 18, 15, 6, 8, 20, 19, 17, 7, 2, 12, 16, 14, 4, 3, 11, 5, 13, 10, 1}",3.736367,0.000982,0.044747
"{1, 7, 19, 18, 3, 12, 20, 6, 8, 10, 2, 14, 15, 5, 9, 11, 17, 16, 4, 13, 1}",3.925524,"{1, 7, 19, 13, 9, 11, 17, 4, 16, 5, 15, 14, 2, 10, 8, 6, 20, 12, 3, 18, 1}",4.021157,0.024362,0.044746
"{1, 9, 16, 7, 18, 15, 4, 10, 13, 5, 3, 14, 11, 8, 20, 19, 6, 17, 2, 12, 1}",4.177693,"{1, 9, 16, 7, 18, 15, 11, 14, 8, 3, 5, 19, 20, 6, 17, 2, 12, 13, 4, 10, 1}",4.223120,0.010874,0.044893
"{1, 10, 2, 13, 9, 20, 8, 17, 16, 11, 19, 15, 3, 5, 6, 18, 14, 7, 12, 4, 1}",4.005063,"{1, 10, 2, 13, 9, 20, 8, 17, 16, 11, 19, 15, 3, 5, 6, 18, 14, 7, 12, 4, 1}",4.005063,0.000000,0.044802
"{1, 8, 4, 9, 6, 2, 15, 10, 13, 3, 18, 7, 14, 11, 20, 5, 12, 16, 17, 19, 1}",4.003620,"{1, 19, 17, 16, 9, 6, 2, 20, 12, 5, 11, 14, 7, 3, 18, 13, 15, 10, 4, 8, 1}",4.170324,0.041638,0.044319
"{1, 19, 11, 9, 17, 14, 13, 7, 6, 15, 4, 10, 18, 12, 3, 5, 8, 20, 2, 16, 1}",4.069552,"{1, 19, 16, 2, 20, 8, 5, 3, 12, 18, 10, 4, 6, 15, 7, 13, 14, 17, 11, 9, 1}",4.232816,0.040118,0.044535
"{1, 11, 2, 6, 20, 4, 13, 7, 10, 16, 14, 5, 15, 12, 18, 9, 17, 19, 3, 8, 1}",3.183201,"{1, 8, 3, 17, 19, 9, 18, 12, 15, 5, 14, 16, 10, 7, 4, 13, 20, 6, 2, 11, 1}",3.239539,0.017698,0.044494
"{1, 10, 2, 19, 12, 16, 7, 17, 11, 20, 14, 15, 6, 9, 8, 18, 5, 13, 3, 4, 1}",3.506426,"{1, 10, 12, 19, 2, 7, 16, 4, 3, 13, 5, 18, 8, 9, 6, 15, 14, 11, 17, 20, 1}",3.592644,0.024589,0.045061
"{1, 19, 5, 11, 4, 8, 3, 13, 14, 18, 20, 12, 9, 7, 2, 16, 10, 15, 17, 6, 1}",3.565069,"{1, 6, 17, 15, 10, 16, 2, 7, 9, 20, 18, 12, 14, 13, 3, 8, 4, 11, 5, 19, 1}",3.582749,0.004959,0.045272
"{1, 9, 8, 3, 12, 2, 13, 4, 15, 20, 10, 18, 7, 14, 17, 6, 5, 11, 19, 16, 1}",4.005012,"{1, 16, 19, 11, 5, 6, 17, 14, 15, 20, 7, 18, 10, 4, 2, 13, 12, 3, 8, 9, 1}",4.046551,0.010372,0.044807
"{1, 12, 2, 16, 6, 15, 5, 7, 14, 10, 19, 8, 11, 4, 3, 13, 9, 20, 18, 17, 1}",4.007835,"{1, 17, 18, 20, 9, 13, 3, 4, 11, 8, 19, 10, 14, 7, 5, 15, 6, 16, 2, 12, 1}",4.007836,0.000000,0.044789
"{1, 9, 15, 11, 13, 17, 12, 19, 8, 5, 6, 10, 18, 2, 14, 3, 4, 7, 20, 16, 1}",3.340037,"{1, 16, 20, 7, 4, 3, 14, 2, 18, 10, 6, 5, 8, 19, 12, 17, 13, 11, 15, 9, 1}",3.340037,0.000000,0.044730
"{1, 4, 14, 18, 9, 3, 6, 5, 12, 16, 10, 15, 17, 13, 20, 7, 11, 19, 2, 8, 1}",3.746554,"{1, 4, 14, 18, 9, 3, 6, 5, 12, 16, 10, 15, 17, 13, 20, 7, 11, 19, 2, 8, 1}",3.746554,0.000000,0.044741
"{1, 9, 8, 11, 14, 3, 20, 13, 2, 17, 16, 18, 5, 19, 12, 4, 7, 10, 6, 15, 1}",3.382577,"{1, 15, 6, 10, 7, 4, 12, 19, 5, 18, 16, 17, 2, 13, 20, 3, 14, 11, 8, 9, 1}",3.382577,0.000000,0.044955
"{1, 5, 12, 18, 20, 11, 19, 17, 2, 16, 8, 3, 10, 14, 6, 7, 15, 9, 4, 13, 1}",3.947663,"{1, 13, 5, 4, 9, 15, 7, 6, 14, 10, 3, 8, 16, 2, 17, 19, 11, 20, 18, 12, 1}",3.962745,0.003821,0.044661
"{1, 15, 4, 2, 19, 8, 16, 11, 9, 7, 12, 5, 17, 10, 20, 3, 18, 14, 6, 13, 1}",3.923082,"{1, 13, 3, 18, 14, 6, 15, 19, 2, 4, 8, 16, 11, 9, 7, 12, 5, 17, 10, 20, 1}",4.199986,0.070583,0.044675
"{1, 4, 11, 6, 20, 13, 12, 19, 17, 10, 9, 8, 5, 2, 7, 14, 15, 18, 16, 3, 1}",3.830351,"{1, 4, 11, 6, 20, 13, 12, 19, 17, 10, 9, 8, 5, 2, 7, 14, 15, 18, 16, 3, 1}",3.830351,0.000000,0.044909
