optimal_tour,optimal_tour_length,transformer_tour,transformer_tour_length,score,time
"{1, 14, 9, 3, 8, 5, 16, 10, 11, 7, 6, 12, 17, 15, 4, 13, 20, 19, 18, 2, 1}",3.912581,"{1, 2, 18, 19, 20, 13, 4, 15, 17, 12, 6, 7, 11, 10, 16, 5, 8, 3, 9, 14, 1}",3.912581,0.000000,0.029912
"{1, 5, 11, 2, 4, 18, 12, 19, 15, 9, 16, 3, 6, 14, 20, 13, 17, 7, 8, 10, 1}",4.160736,"{1, 5, 11, 2, 4, 18, 12, 19, 3, 6, 16, 14, 9, 15, 8, 7, 20, 13, 17, 10, 1}",4.162797,0.000496,0.030369
"{1, 19, 13, 18, 8, 14, 10, 6, 9, 5, 3, 17, 7, 4, 16, 12, 15, 11, 20, 2, 1}",3.979102,"{1, 19, 13, 18, 8, 14, 10, 6, 9, 5, 3, 17, 7, 4, 16, 12, 15, 11, 20, 2, 1}",3.979102,0.000000,0.029635
"{1, 13, 2, 14, 10, 17, 19, 4, 16, 9, 5, 3, 12, 6, 11, 20, 18, 15, 7, 8, 1}",4.780822,"{1, 8, 7, 15, 18, 20, 11, 6, 12, 3, 5, 9, 16, 4, 19, 17, 10, 14, 2, 13, 1}",4.780823,0.000000,0.029613
"{1, 11, 9, 16, 7, 15, 3, 18, 17, 12, 4, 8, 2, 5, 6, 20, 13, 14, 19, 10, 1}",4.078830,"{1, 11, 9, 16, 7, 15, 3, 18, 17, 12, 4, 8, 2, 5, 6, 20, 13, 14, 19, 10, 1}",4.078830,0.000000,0.030163
"{1, 16, 20, 18, 4, 12, 19, 14, 17, 13, 6, 5, 8, 7, 2, 11, 9, 10, 15, 3, 1}",4.262625,"{1, 3, 15, 10, 9, 11, 2, 7, 8, 5, 6, 13, 17, 14, 19, 12, 4, 18, 20, 16, 1}",4.262626,0.000000,0.030096
"{1, 14, 19, 5, 8, 18, 17, 9, 16, 20, 10, 6, 13, 15, 7, 3, 11, 12, 2, 4, 1}",3.456365,"{1, 19, 5, 18, 8, 17, 9, 16, 14, 20, 10, 6, 13, 15, 3, 7, 12, 11, 2, 4, 1}",3.478562,0.006422,0.029740
"{1, 15, 6, 19, 2, 13, 12, 7, 4, 9, 14, 5, 20, 8, 10, 18, 17, 11, 16, 3, 1}",3.964363,"{1, 3, 16, 11, 17, 18, 10, 8, 20, 5, 14, 9, 4, 7, 12, 13, 2, 19, 6, 15, 1}",3.964363,0.000000,0.030696
"{1, 17, 9, 10, 5, 18, 3, 13, 6, 19, 16, 8, 12, 7, 14, 11, 20, 15, 4, 2, 1}",4.004752,"{1, 2, 4, 15, 20, 7, 11, 14, 16, 8, 19, 6, 13, 3, 18, 5, 17, 9, 10, 12, 1}",4.080395,0.018888,0.029798
"{1, 15, 3, 11, 16, 7, 20, 12, 19, 10, 8, 5, 6, 13, 2, 4, 17, 18, 9, 14, 1}",3.382039,"{1, 14, 9, 18, 17, 4, 2, 13, 6, 5, 8, 10, 19, 12, 20, 7, 16, 11, 3, 15, 1}",3.382039,0.000000,0.030580
"{1, 11, 19, 16, 18, 6, 14, 9, 13, 5, 12, 15, 3, 17, 4, 7, 20, 8, 10, 2, 1}",3.972566,"{1, 2, 10, 8, 20, 7, 4, 17, 3, 15, 12, 5, 13, 9, 14, 6, 18, 16, 19, 11, 1}",3.972565,0.000000,0.030063
"{1, 4, 14, 12, 2, 10, 16, 6, 13, 18, 3, 17, 9, 11, 20, 8, 19, 5, 7, 15, 1}",4.439022,"{1, 4, 14, 12, 15, 7, 5, 19, 8, 20, 11, 9, 17, 3, 18, 13, 6, 16, 10, 2, 1}",4.542356,0.023279,0.030338
"{1, 13, 9, 11, 7, 6, 15, 2, 4, 18, 17, 5, 8, 19, 14, 12, 20, 10, 16, 3, 1}",3.491404,"{1, 3, 16, 10, 20, 12, 14, 19, 8, 5, 17, 18, 4, 2, 15, 6, 7, 11, 9, 13, 1}",3.491404,0.000000,0.029888
"{1, 10, 2, 15, 18, 14, 19, 11, 13, 6, 9, 3, 7, 16, 20, 8, 5, 4, 12, 17, 1}",3.953280,"{1, 10, 2, 15, 18, 14, 19, 11, 13, 6, 9, 3, 7, 16, 20, 8, 5, 4, 12, 17, 1}",3.953280,0.000000,0.029671
"{1, 3, 16, 11, 10, 12, 20, 5, 14, 17, 7, 2, 15, 18, 9, 6, 4, 13, 19, 8, 1}",3.780954,"{1, 8, 19, 13, 4, 6, 9, 18, 15, 2, 7, 17, 14, 5, 20, 12, 10, 11, 16, 3, 1}",3.780954,0.000000,0.029661
"{1, 10, 8, 13, 11, 19, 3, 6, 5, 9, 12, 18, 15, 2, 16, 7, 20, 17, 14, 4, 1}",3.371196,"{1, 10, 8, 13, 11, 19, 3, 6, 5, 9, 12, 18, 15, 2, 16, 7, 20, 17, 14, 4, 1}",3.371196,0.000000,0.029868
"{1, 13, 2, 11, 12, 8, 15, 7, 19, 9, 4, 20, 16, 10, 5, 6, 18, 14, 3, 17, 1}",3.770459,"{1, 13, 2, 11, 12, 8, 15, 7, 19, 9, 4, 20, 10, 5, 6, 16, 18, 14, 3, 17, 1}",3.835545,0.017262,0.030123
"{1, 10, 6, 8, 16, 20, 3, 11, 4, 14, 17, 15, 19, 12, 2, 5, 9, 13, 18, 7, 1}",4.074657,"{1, 10, 7, 18, 13, 9, 5, 2, 12, 19, 15, 17, 14, 4, 11, 3, 20, 16, 6, 8, 1}",4.088566,0.003414,0.029503
"{1, 8, 14, 20, 7, 10, 16, 5, 6, 18, 4, 15, 13, 11, 17, 9, 12, 2, 3, 19, 1}",3.231835,"{1, 19, 3, 2, 12, 9, 17, 11, 13, 6, 5, 18, 4, 15, 16, 10, 7, 20, 14, 8, 1}",3.254235,0.006931,0.029505
"{1, 4, 17, 15, 8, 10, 3, 7, 20, 9, 2, 16, 5, 13, 12, 14, 19, 11, 18, 6, 1}",3.806571,"{1, 6, 18, 11, 19, 14, 12, 13, 5, 16, 2, 9, 20, 7, 3, 10, 8, 15, 17, 4, 1}",3.806571,0.000000,0.029383
"{1, 14, 3, 17, 7, 5, 2, 18, 6, 4, 9, 11, 20, 16, 13, 15, 12, 10, 19, 8, 1}",3.555058,"{1, 8, 19, 10, 12, 15, 13, 16, 20, 11, 9, 4, 6, 18, 2, 5, 7, 17, 3, 14, 1}",3.555058,0.000000,0.029520
"{1, 18, 10, 3, 20, 7, 12, 13, 17, 4, 9, 19, 11, 14, 15, 8, 16, 6, 5, 2, 1}",3.685515,"{1, 2, 5, 6, 16, 8, 15, 14, 11, 19, 9, 4, 17, 13, 12, 7, 20, 3, 10, 18, 1}",3.685515,0.000000,0.029601
"{1, 3, 17, 13, 8, 20, 15, 7, 11, 19, 9, 2, 14, 6, 18, 4, 16, 12, 5, 10, 1}",3.634190,"{1, 10, 3, 17, 13, 8, 20, 15, 7, 11, 19, 9, 2, 14, 6, 18, 4, 16, 12, 5, 1}",3.678546,0.012205,0.029579
"{1, 19, 16, 17, 8, 7, 14, 6, 12, 15, 10, 20, 11, 9, 5, 13, 3, 4, 2, 18, 1}",4.026299,"{1, 19, 18, 2, 4, 3, 13, 5, 9, 11, 20, 10, 12, 6, 14, 7, 15, 16, 17, 8, 1}",4.235596,0.051982,0.029583
"{1, 19, 20, 12, 9, 10, 14, 8, 16, 2, 13, 4, 6, 17, 3, 18, 5, 7, 15, 11, 1}",3.557369,"{1, 11, 15, 7, 5, 18, 3, 17, 6, 4, 13, 2, 16, 8, 14, 10, 9, 12, 19, 20, 1}",3.589304,0.008977,0.029690
"{1, 10, 8, 20, 19, 17, 5, 2, 12, 14, 18, 11, 9, 7, 15, 3, 6, 13, 4, 16, 1}",3.502678,"{1, 10, 8, 20, 19, 17, 5, 2, 12, 14, 18, 11, 9, 7, 15, 3, 6, 13, 4, 16, 1}",3.502678,0.000000,0.029362
"{1, 7, 13, 4, 5, 6, 15, 19, 9, 12, 17, 18, 20, 10, 8, 2, 14, 11, 16, 3, 1}",3.979385,"{1, 3, 16, 11, 14, 2, 8, 10, 20, 18, 17, 12, 9, 19, 15, 6, 5, 4, 13, 7, 1}",3.979384,0.000000,0.029550
"{1, 16, 10, 8, 17, 9, 3, 2, 14, 4, 12, 6, 18, 19, 5, 11, 7, 20, 15, 13, 1}",3.989491,"{1, 16, 10, 8, 17, 9, 3, 2, 6, 18, 19, 5, 11, 7, 12, 14, 4, 20, 15, 13, 1}",4.011740,0.005577,0.030706
"{1, 6, 7, 13, 4, 11, 8, 18, 2, 12, 5, 16, 15, 10, 14, 9, 3, 19, 17, 20, 1}",3.445786,"{1, 6, 7, 13, 4, 11, 8, 18, 2, 12, 5, 16, 15, 10, 14, 9, 3, 19, 17, 20, 1}",3.445786,0.000000,0.029703
"{1, 3, 2, 15, 4, 10, 11, 14, 19, 8, 20, 12, 7, 6, 17, 13, 9, 16, 5, 18, 1}",4.204516,"{1, 18, 5, 16, 9, 13, 17, 6, 12, 7, 20, 8, 19, 14, 11, 10, 4, 15, 2, 3, 1}",4.199792,-0.001123,0.029546
"{1, 6, 7, 20, 11, 15, 10, 2, 9, 13, 18, 16, 5, 14, 8, 17, 12, 4, 3, 19, 1}",4.102246,"{1, 6, 11, 9, 13, 18, 16, 5, 14, 8, 2, 15, 10, 17, 12, 4, 3, 19, 20, 7, 1}",4.140305,0.009278,0.029370
"{1, 3, 17, 15, 18, 7, 14, 8, 5, 13, 12, 6, 2, 16, 10, 20, 11, 19, 4, 9, 1}",4.085589,"{1, 9, 4, 19, 11, 20, 10, 16, 2, 6, 12, 13, 5, 8, 14, 7, 18, 15, 17, 3, 1}",4.085589,0.000000,0.029389
"{1, 14, 5, 12, 20, 16, 3, 15, 7, 10, 2, 19, 8, 18, 4, 9, 17, 11, 13, 6, 1}",3.822300,"{1, 6, 13, 11, 17, 9, 4, 18, 8, 19, 2, 10, 7, 15, 3, 16, 20, 12, 5, 14, 1}",3.822300,0.000000,0.029595
"{1, 2, 15, 3, 8, 17, 10, 19, 14, 13, 4, 11, 7, 12, 6, 18, 9, 5, 16, 20, 1}",3.278409,"{1, 2, 15, 3, 8, 17, 10, 19, 14, 13, 4, 11, 7, 12, 6, 18, 9, 5, 16, 20, 1}",3.278409,0.000000,0.029530
"{1, 19, 20, 6, 8, 13, 7, 4, 10, 9, 11, 18, 2, 16, 12, 5, 17, 15, 3, 14, 1}",3.887375,"{1, 19, 20, 6, 8, 13, 7, 4, 10, 9, 11, 18, 2, 16, 12, 5, 17, 15, 3, 14, 1}",3.887375,0.000000,0.029437
"{1, 17, 13, 6, 8, 12, 20, 5, 7, 15, 19, 18, 14, 3, 10, 16, 11, 4, 9, 2, 1}",4.029413,"{1, 17, 13, 6, 8, 12, 20, 5, 7, 15, 19, 18, 10, 16, 11, 4, 9, 2, 14, 3, 1}",4.337868,0.076551,0.029741
"{1, 18, 12, 19, 15, 4, 9, 8, 6, 17, 2, 11, 20, 10, 14, 16, 13, 7, 3, 5, 1}",4.105566,"{1, 5, 3, 7, 13, 16, 14, 10, 20, 11, 2, 17, 6, 8, 9, 4, 15, 19, 12, 18, 1}",4.105567,0.000000,0.029624
"{1, 16, 4, 3, 18, 5, 8, 10, 19, 9, 15, 17, 2, 6, 11, 12, 14, 7, 20, 13, 1}",3.967801,"{1, 16, 4, 3, 18, 5, 8, 10, 19, 9, 15, 17, 2, 6, 11, 12, 14, 7, 20, 13, 1}",3.967801,0.000000,0.029382
"{1, 8, 11, 19, 6, 15, 5, 10, 2, 18, 7, 17, 9, 14, 20, 13, 16, 4, 12, 3, 1}",3.466249,"{1, 8, 11, 19, 6, 15, 5, 10, 2, 18, 7, 17, 3, 12, 9, 14, 20, 13, 16, 4, 1}",3.563337,0.028010,0.029357
"{1, 12, 18, 4, 20, 5, 2, 9, 15, 10, 13, 17, 19, 11, 8, 7, 3, 14, 6, 16, 1}",4.795065,"{1, 12, 18, 4, 5, 20, 2, 8, 7, 3, 11, 9, 15, 19, 10, 13, 17, 14, 6, 16, 1}",4.790900,-0.000869,0.029489
"{1, 15, 14, 13, 19, 18, 16, 17, 2, 20, 7, 10, 8, 3, 6, 11, 9, 12, 4, 5, 1}",3.469141,"{1, 15, 14, 13, 19, 18, 16, 17, 2, 20, 7, 10, 8, 3, 6, 11, 9, 12, 4, 5, 1}",3.469141,0.000000,0.029392
"{1, 12, 14, 7, 5, 8, 10, 9, 4, 18, 6, 11, 2, 15, 3, 17, 20, 19, 16, 13, 1}",3.482816,"{1, 12, 7, 5, 8, 10, 9, 4, 18, 6, 11, 2, 15, 3, 17, 20, 19, 16, 14, 13, 1}",3.503869,0.006045,0.029699
"{1, 5, 17, 20, 10, 7, 8, 6, 9, 18, 15, 11, 4, 12, 3, 14, 19, 13, 16, 2, 1}",3.536839,"{1, 5, 2, 16, 13, 19, 14, 3, 12, 4, 11, 15, 18, 9, 6, 8, 7, 10, 20, 17, 1}",3.538498,0.000469,0.029467
"{1, 18, 14, 16, 9, 8, 4, 13, 20, 12, 3, 17, 5, 7, 11, 6, 10, 19, 2, 15, 1}",3.943122,"{1, 14, 18, 15, 2, 19, 10, 6, 11, 7, 5, 17, 3, 12, 20, 13, 4, 8, 9, 16, 1}",3.990538,0.012025,0.029277
"{1, 2, 17, 3, 7, 6, 8, 16, 14, 4, 9, 20, 13, 15, 18, 10, 12, 11, 19, 5, 1}",3.248978,"{1, 2, 17, 3, 6, 7, 8, 16, 14, 4, 9, 20, 13, 15, 18, 10, 11, 12, 19, 5, 1}",3.287999,0.012010,0.029563
"{1, 20, 2, 19, 15, 10, 13, 18, 4, 16, 9, 14, 11, 7, 8, 12, 3, 17, 5, 6, 1}",3.764408,"{1, 6, 5, 17, 3, 12, 8, 7, 11, 9, 16, 4, 18, 13, 10, 15, 19, 2, 14, 20, 1}",3.795223,0.008186,0.029427
"{1, 20, 18, 16, 3, 11, 13, 7, 5, 6, 15, 19, 2, 17, 9, 12, 8, 10, 14, 4, 1}",3.301753,"{1, 4, 14, 10, 8, 12, 9, 17, 2, 19, 15, 6, 5, 7, 13, 11, 3, 16, 18, 20, 1}",3.301753,0.000000,0.029329
"{1, 15, 8, 6, 12, 3, 17, 19, 18, 4, 20, 11, 10, 14, 5, 2, 7, 16, 13, 9, 1}",3.646290,"{1, 9, 13, 16, 7, 2, 5, 14, 10, 11, 20, 4, 18, 19, 17, 3, 12, 6, 8, 15, 1}",3.646290,0.000000,0.029342
"{1, 4, 19, 6, 15, 2, 18, 16, 17, 10, 12, 11, 20, 3, 13, 14, 8, 9, 5, 7, 1}",3.703065,"{1, 7, 5, 9, 8, 14, 13, 3, 20, 11, 12, 10, 17, 16, 2, 18, 15, 6, 19, 4, 1}",3.717411,0.003874,0.030142
"{1, 3, 13, 8, 20, 19, 18, 6, 4, 15, 9, 17, 11, 10, 16, 2, 12, 5, 14, 7, 1}",3.403824,"{1, 3, 13, 8, 20, 19, 18, 6, 4, 15, 9, 17, 11, 10, 16, 2, 12, 5, 14, 7, 1}",3.403824,0.000000,0.029997
"{1, 10, 20, 12, 4, 18, 2, 14, 3, 11, 13, 5, 17, 19, 16, 6, 7, 9, 15, 8, 1}",3.974075,"{1, 8, 15, 9, 7, 6, 16, 19, 17, 5, 13, 11, 3, 14, 2, 18, 4, 12, 20, 10, 1}",3.974075,0.000000,0.029635
"{1, 4, 7, 3, 14, 10, 6, 15, 13, 8, 9, 16, 17, 12, 20, 5, 19, 11, 18, 2, 1}",3.969007,"{1, 4, 2, 18, 11, 19, 5, 20, 17, 16, 9, 8, 13, 15, 6, 10, 14, 3, 7, 12, 1}",4.045859,0.019363,0.029733
"{1, 19, 9, 4, 15, 18, 5, 12, 14, 17, 16, 6, 13, 11, 8, 7, 10, 2, 20, 3, 1}",3.814619,"{1, 3, 20, 2, 10, 7, 8, 11, 13, 6, 16, 17, 14, 12, 5, 18, 15, 4, 9, 19, 1}",3.814619,0.000000,0.029429
"{1, 16, 17, 4, 10, 9, 20, 11, 5, 19, 2, 7, 14, 6, 3, 12, 18, 13, 15, 8, 1}",3.729522,"{1, 16, 17, 4, 10, 9, 20, 11, 5, 19, 2, 7, 14, 6, 3, 12, 18, 13, 15, 8, 1}",3.729522,0.000000,0.029824
"{1, 8, 4, 17, 15, 19, 2, 3, 6, 11, 16, 13, 12, 14, 20, 9, 5, 10, 18, 7, 1}",3.518163,"{1, 8, 4, 17, 15, 19, 2, 3, 6, 11, 16, 13, 12, 14, 20, 9, 5, 10, 18, 7, 1}",3.518163,0.000000,0.029589
"{1, 9, 18, 6, 15, 8, 20, 19, 17, 7, 2, 12, 16, 14, 4, 3, 11, 5, 13, 10, 1}",3.732700,"{1, 14, 16, 12, 2, 7, 17, 19, 20, 8, 6, 15, 18, 9, 10, 13, 5, 11, 3, 4, 1}",3.738688,0.001604,0.029472
"{1, 7, 19, 18, 3, 12, 20, 6, 8, 10, 2, 14, 15, 5, 9, 11, 17, 16, 4, 13, 1}",3.925524,"{1, 7, 19, 3, 18, 13, 9, 11, 17, 4, 16, 5, 15, 14, 2, 10, 8, 6, 20, 12, 1}",4.186350,0.066443,0.029554
"{1, 9, 16, 7, 18, 15, 4, 10, 13, 5, 3, 14, 11, 8, 20, 19, 6, 17, 2, 12, 1}",4.177693,"{1, 9, 16, 7, 18, 15, 11, 8, 14, 3, 5, 20, 19, 6, 17, 2, 12, 13, 4, 10, 1}",4.211467,0.008084,0.029528
"{1, 10, 2, 13, 9, 20, 8, 17, 16, 11, 19, 15, 3, 5, 6, 18, 14, 7, 12, 4, 1}",4.005063,"{1, 4, 12, 7, 14, 18, 6, 5, 3, 15, 19, 11, 16, 17, 8, 20, 9, 13, 2, 10, 1}",4.005062,0.000000,0.029697
"{1, 8, 4, 9, 6, 2, 15, 10, 13, 3, 18, 7, 14, 11, 20, 5, 12, 16, 17, 19, 1}",4.003620,"{1, 8, 4, 10, 15, 13, 3, 18, 7, 14, 11, 20, 5, 12, 2, 6, 9, 16, 17, 19, 1}",4.029300,0.006414,0.029702
"{1, 19, 11, 9, 17, 14, 13, 7, 6, 15, 4, 10, 18, 12, 3, 5, 8, 20, 2, 16, 1}",4.069552,"{1, 16, 2, 20, 8, 5, 3, 12, 18, 10, 4, 15, 6, 7, 13, 14, 17, 9, 11, 19, 1}",4.069552,0.000000,0.029590
"{1, 11, 2, 6, 20, 4, 13, 7, 10, 16, 14, 5, 15, 12, 18, 9, 17, 19, 3, 8, 1}",3.183201,"{1, 8, 3, 19, 17, 9, 18, 12, 15, 5, 14, 16, 10, 7, 4, 13, 20, 6, 2, 11, 1}",3.203288,0.006310,0.029621
"{1, 10, 2, 19, 12, 16, 7, 17, 11, 20, 14, 15, 6, 9, 8, 18, 5, 13, 3, 4, 1}",3.506426,"{1, 10, 12, 19, 16, 7, 2, 20, 17, 11, 14, 15, 6, 9, 8, 18, 5, 3, 4, 13, 1}",3.617437,0.031659,0.029443
"{1, 19, 5, 11, 4, 8, 3, 13, 14, 18, 20, 12, 9, 7, 2, 16, 10, 15, 17, 6, 1}",3.565069,"{1, 6, 17, 15, 10, 16, 2, 7, 9, 12, 20, 18, 14, 13, 3, 8, 4, 11, 5, 19, 1}",3.565069,0.000000,0.029397
"{1, 9, 8, 3, 12, 2, 13, 4, 15, 20, 10, 18, 7, 14, 17, 6, 5, 11, 19, 16, 1}",4.005012,"{1, 9, 8, 3, 12, 2, 13, 4, 11, 15, 20, 10, 18, 7, 14, 17, 6, 5, 19, 16, 1}",4.019783,0.003688,0.029422
"{1, 12, 2, 16, 6, 15, 5, 7, 14, 10, 19, 8, 11, 4, 3, 13, 9, 20, 18, 17, 1}",4.007835,"{1, 17, 18, 5, 7, 15, 6, 14, 10, 3, 13, 20, 9, 4, 11, 8, 19, 16, 2, 12, 1}",4.100348,0.023083,0.029573
"{1, 9, 15, 11, 13, 17, 12, 19, 8, 5, 6, 10, 18, 2, 14, 3, 4, 7, 20, 16, 1}",3.340037,"{1, 16, 20, 7, 4, 3, 14, 10, 6, 18, 2, 8, 5, 19, 12, 17, 13, 11, 15, 9, 1}",3.369216,0.008736,0.029576
"{1, 4, 14, 18, 9, 3, 6, 5, 12, 16, 10, 15, 17, 13, 20, 7, 11, 19, 2, 8, 1}",3.746554,"{1, 4, 14, 18, 9, 3, 6, 5, 12, 16, 10, 15, 17, 13, 20, 7, 11, 19, 8, 2, 1}",3.749559,0.000802,0.029447
"{1, 9, 8, 11, 14, 3, 20, 13, 2, 17, 16, 18, 5, 19, 12, 4, 7, 10, 6, 15, 1}",3.382577,"{1, 15, 6, 10, 7, 4, 12, 19, 5, 18, 16, 17, 2, 13, 20, 3, 14, 11, 8, 9, 1}",3.382577,0.000000,0.029567
"{1, 5, 12, 18, 20, 11, 19, 17, 2, 16, 8, 3, 10, 14, 6, 7, 15, 9, 4, 13, 1}",3.947663,"{1, 13, 4, 9, 15, 7, 6, 11, 14, 10, 3, 8, 16, 2, 17, 19, 20, 18, 12, 5, 1}",3.956773,0.002308,0.029497
"{1, 15, 4, 2, 19, 8, 16, 11, 9, 7, 12, 5, 17, 10, 20, 3, 18, 14, 6, 13, 1}",3.923082,"{1, 13, 6, 14, 18, 3, 20, 10, 17, 5, 12, 7, 9, 11, 16, 8, 19, 2, 4, 15, 1}",3.923082,0.000000,0.029446
"{1, 4, 11, 6, 20, 13, 12, 19, 17, 10, 9, 8, 5, 2, 7, 14, 15, 18, 16, 3, 1}",3.830351,"{1, 4, 11, 6, 20, 13, 12, 19, 17, 10, 9, 8, 5, 2, 7, 14, 15, 18, 16, 3, 1}",3.830351,0.000000,0.029409
